Designator,Mid X,Mid Y,Layer,Rotation
R206,67.15,-31.55,T,270.00
R206,137.15,-31.55,T,270.00
R301,123.40,-49.10,T,180.00
R301,53.40,-110.60,T,180.00
R301,53.40,-49.10,T,180.00
R301,123.40,-110.60,T,180.00
R302,113.50,-92.10,T,90.00
R302,43.50,-30.60,T,90.00
R302,113.50,-30.60,T,90.00
R302,43.50,-92.10,T,90.00
R303,42.90,-87.00,T,0.00
R303,42.90,-25.50,T,0.00
R303,112.90,-25.50,T,0.00
R303,112.90,-87.00,T,0.00
R304,61.70,-109.00,T,270.00
R304,131.70,-109.00,T,270.00
R304,61.70,-47.50,T,270.00
R304,131.70,-47.50,T,270.00
R305,111.00,-87.00,T,180.00
R305,41.00,-87.00,T,180.00
R305,111.00,-25.50,T,180.00
R305,41.00,-25.50,T,180.00
R306,61.70,-111.00,T,90.00
R306,131.70,-111.00,T,90.00
R306,131.70,-49.50,T,90.00
R306,61.70,-49.50,T,90.00
R307,63.50,-49.50,T,0.00
R307,133.50,-111.00,T,0.00
R307,63.50,-111.00,T,0.00
R307,133.50,-49.50,T,0.00
R308,123.60,-108.10,T,180.00
R308,53.60,-108.10,T,180.00
R308,123.60,-46.60,T,180.00
R308,53.60,-46.60,T,180.00
R309,61.65,-42.15,T,0.00
R309,61.65,-103.65,T,0.00
R309,131.65,-103.65,T,0.00
R309,131.65,-42.15,T,0.00
R310,138.80,-49.50,T,0.00
R310,138.80,-111.00,T,0.00
R310,68.80,-111.00,T,0.00
R310,68.80,-49.50,T,0.00
R311,56.30,-36.90,T,90.00
R311,126.30,-36.90,T,90.00
R311,126.30,-98.40,T,90.00
R311,56.30,-98.40,T,90.00
R312,66.70,-49.50,T,0.00
R312,66.70,-111.00,T,0.00
R312,136.70,-49.50,T,0.00
R312,136.70,-111.00,T,0.00
R313,66.70,-50.50,T,0.00
R313,66.70,-112.00,T,0.00
R313,136.70,-112.00,T,0.00
R313,136.70,-50.50,T,0.00
R314,136.70,-55.50,T,0.00
R314,66.70,-55.50,T,0.00
R314,136.70,-117.00,T,0.00
R314,66.70,-117.00,T,0.00
R315,123.50,-28.20,T,180.00
R315,53.50,-89.70,T,180.00
R315,53.50,-28.20,T,180.00
R315,123.50,-89.70,T,180.00
R316,53.50,-29.30,T,180.00
R316,53.50,-90.80,T,180.00
R316,123.50,-90.80,T,180.00
R316,123.50,-29.30,T,180.00
R401,42.90,-46.31,T,90.00
R401,42.90,-107.81,T,90.00
R401,112.90,-107.81,T,90.00
R401,112.90,-46.31,T,90.00
R402,53.50,-94.90,T,180.00
R402,123.50,-94.90,T,180.00
R402,123.50,-33.40,T,180.00
R402,53.50,-33.40,T,180.00
R403,123.50,-32.30,T,180.00
R403,53.50,-93.80,T,180.00
R403,123.50,-93.80,T,180.00
R403,53.50,-32.30,T,180.00
R404,41.90,-46.31,T,270.00
R404,111.90,-107.81,T,270.00
R404,41.90,-107.81,T,270.00
R404,111.90,-46.31,T,270.00
R405,80.70,-110.00,T,270.00
R405,80.70,-48.50,T,270.00
R405,10.70,-48.50,T,270.00
R405,10.70,-110.00,T,270.00
R406,9.20,-109.10,T,180.00
R406,9.20,-47.60,T,180.00
R406,79.20,-47.60,T,180.00
R406,79.20,-109.10,T,180.00
R407,85.00,-21.90,T,0.00
R407,15.00,-21.90,T,0.00
R407,85.00,-83.40,T,0.00
R407,15.00,-83.40,T,0.00
R408,89.50,-33.30,T,90.00
R408,19.50,-33.30,T,90.00
R408,89.50,-94.80,T,90.00
R408,19.50,-94.80,T,90.00
R409,87.09,-92.59,T,270.00
R409,17.09,-31.09,T,270.00
R409,87.09,-31.09,T,270.00
R409,17.09,-92.59,T,270.00
R410,88.09,-92.59,T,270.00
R410,18.09,-31.09,T,270.00
R410,18.09,-92.59,T,270.00
R410,88.09,-31.09,T,270.00
R501,81.20,-22.40,T,180.00
R501,81.20,-83.90,T,180.00
R501,11.20,-22.40,T,180.00
R501,11.20,-83.90,T,180.00
R502,11.20,-84.90,T,180.00
R502,81.20,-23.40,T,180.00
R502,11.20,-23.40,T,180.00
R502,81.20,-84.90,T,180.00
R503,11.19,-24.40,T,180.00
R503,81.19,-85.90,T,180.00
R503,81.19,-24.40,T,180.00
R503,11.19,-85.90,T,180.00
R504,81.20,-86.90,T,180.00
R504,11.20,-25.40,T,180.00
R504,11.20,-86.90,T,180.00
R504,81.20,-25.40,T,180.00
R701,111.60,-117.00,T,270.00
R701,41.60,-117.00,T,270.00
R701,111.60,-55.50,T,270.00
R701,41.60,-55.50,T,270.00
U1001,111.92,-37.03,T,0.00
U1001,41.92,-37.03,T,0.00
U1001,41.92,-98.53,T,0.00
U1001,111.92,-98.53,T,0.00
U1002,29.00,-23.95,T,0.00
U1002,99.00,-23.95,T,0.00
U1002,99.00,-85.45,T,0.00
